keyword,brand,volume,visibility_score,positive_voice,sov_volume,sov_visibility,sov_positive
bldc fan,Atomberg,7,4.615784315716504,1.0,0.875,0.9080720450919274,1.0
bldc fan,Orient,1,0.46727527263282326,0.0,0.125,0.09192795490807265,0.0
energy saving fan,Atomberg,7,4.638870167582557,4.992255449295044,0.875,0.9126137687260486,1.0
energy saving fan,Orient,1,0.4441894207667705,0.0,0.125,0.08738623127395138,0.0
smart fan,Atomberg,6,4.01028099592121,5.927810072898865,0.6666666666666666,0.7280376824627525,0.7519746544728478
smart fan,Orient,3,1.498061624965563,1.9551817774772644,0.3333333333333333,0.27196231753724753,0.24802534552715222
