brand,volume,visibility_score,positive_voice,sov_volume,sov_visibility,sov_positive
Atomberg,20,13.264935479220272,11.920065522193909,0.8,0.8462769344503853,0.8590885095414768
Orient,5,2.4095263183651565,1.9551817774772644,0.2,0.1537230655496147,0.14091149045852322
